ID Gender,Gender,ID Industry Group,Industry Group,ID Year,Year,Median Earnings by Industry and Gender,Median Earnings by Industry and Gender Moe,Geography,ID Geography,Slug Geography
1,"Female",4,"Wholesale Trade",2020,"2020",40703,48453,"Ames, IA","16000US1901855","ames-ia"
1,"Female",5,"Retail Trade",2020,"2020",9720,3039,"Ames, IA","16000US1901855","ames-ia"
1,"Female",6,"Transportation & Warehousing, & Utilities",2020,"2020",17316,18560,"Ames, IA","16000US1901855","ames-ia"
1,"Female",7,"Information",2020,"2020",7041,3407,"Ames, IA","16000US1901855","ames-ia"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2020,"2020",38264,32919,"Ames, IA","16000US1901855","ames-ia"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2020,"2020",35135,5034,"Ames, IA","16000US1901855","ames-ia"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2020,"2020",22982,2571,"Ames, IA","16000US1901855","ames-ia"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2020,"2020",11495,2268,"Ames, IA","16000US1901855","ames-ia"
1,"Female",13,"Other Services Except Public Administration",2020,"2020",24527,8139,"Ames, IA","16000US1901855","ames-ia"
1,"Female",14,"Public Administration",2020,"2020",62604,9127,"Ames, IA","16000US1901855","ames-ia"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2019,"2019",20395,7778,"Ames, IA","16000US1901855","ames-ia"
0,"Male",2,"Construction",2019,"2019",37697,14191,"Ames, IA","16000US1901855","ames-ia"
0,"Male",3,"Manufacturing",2019,"2019",42964,4945,"Ames, IA","16000US1901855","ames-ia"
0,"Male",4,"Wholesale Trade",2019,"2019",31786,30451,"Ames, IA","16000US1901855","ames-ia"
0,"Male",5,"Retail Trade",2019,"2019",17058,5685,"Ames, IA","16000US1901855","ames-ia"
0,"Male",6,"Transportation & Warehousing, & Utilities",2019,"2019",49063,32400,"Ames, IA","16000US1901855","ames-ia"
0,"Male",7,"Information",2019,"2019",22467,16568,"Ames, IA","16000US1901855","ames-ia"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2019,"2019",62266,38405,"Ames, IA","16000US1901855","ames-ia"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2019,"2019",39516,8345,"Ames, IA","16000US1901855","ames-ia"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2019,"2019",25512,2503,"Ames, IA","16000US1901855","ames-ia"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2019,"2019",12337,3376,"Ames, IA","16000US1901855","ames-ia"
0,"Male",13,"Other Services Except Public Administration",2019,"2019",28333,11921,"Ames, IA","16000US1901855","ames-ia"
0,"Male",14,"Public Administration",2019,"2019",58594,19231,"Ames, IA","16000US1901855","ames-ia"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2019,"2019",11716,8048,"Ames, IA","16000US1901855","ames-ia"
1,"Female",2,"Construction",2019,"2019",65643,31173,"Ames, IA","16000US1901855","ames-ia"
1,"Female",3,"Manufacturing",2019,"2019",27974,7185,"Ames, IA","16000US1901855","ames-ia"
1,"Female",4,"Wholesale Trade",2019,"2019",40833,34526,"Ames, IA","16000US1901855","ames-ia"
1,"Female",5,"Retail Trade",2019,"2019",7500,2080,"Ames, IA","16000US1901855","ames-ia"
1,"Female",6,"Transportation & Warehousing, & Utilities",2019,"2019",16555,4252,"Ames, IA","16000US1901855","ames-ia"
1,"Female",7,"Information",2019,"2019",9268,14911,"Ames, IA","16000US1901855","ames-ia"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2019,"2019",19386,42098,"Ames, IA","16000US1901855","ames-ia"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2019,"2019",27039,20466,"Ames, IA","16000US1901855","ames-ia"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2019,"2019",20742,3141,"Ames, IA","16000US1901855","ames-ia"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2019,"2019",10865,1368,"Ames, IA","16000US1901855","ames-ia"
1,"Female",13,"Other Services Except Public Administration",2019,"2019",21424,3777,"Ames, IA","16000US1901855","ames-ia"
1,"Female",14,"Public Administration",2019,"2019",51532,18980,"Ames, IA","16000US1901855","ames-ia"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2018,"2018",20139,4717,"Ames, IA","16000US1901855","ames-ia"
0,"Male",2,"Construction",2018,"2018",33654,14340,"Ames, IA","16000US1901855","ames-ia"
0,"Male",3,"Manufacturing",2018,"2018",41878,3645,"Ames, IA","16000US1901855","ames-ia"
0,"Male",4,"Wholesale Trade",2018,"2018",62625,53943,"Ames, IA","16000US1901855","ames-ia"
0,"Male",5,"Retail Trade",2018,"2018",16017,2272,"Ames, IA","16000US1901855","ames-ia"
0,"Male",6,"Transportation & Warehousing, & Utilities",2018,"2018",31711,17396,"Ames, IA","16000US1901855","ames-ia"
0,"Male",7,"Information",2018,"2018",39081,39648,"Ames, IA","16000US1901855","ames-ia"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2018,"2018",60904,29572,"Ames, IA","16000US1901855","ames-ia"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2018,"2018",41375,8844,"Ames, IA","16000US1901855","ames-ia"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2018,"2018",26838,3894,"Ames, IA","16000US1901855","ames-ia"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2018,"2018",11868,1752,"Ames, IA","16000US1901855","ames-ia"
0,"Male",13,"Other Services Except Public Administration",2018,"2018",31853,15287,"Ames, IA","16000US1901855","ames-ia"
0,"Male",14,"Public Administration",2018,"2018",48715,17403,"Ames, IA","16000US1901855","ames-ia"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2018,"2018",18409,23087,"Ames, IA","16000US1901855","ames-ia"
1,"Female",2,"Construction",2018,"2018",40071,26188,"Ames, IA","16000US1901855","ames-ia"
1,"Female",3,"Manufacturing",2018,"2018",25579,7535,"Ames, IA","16000US1901855","ames-ia"
1,"Female",4,"Wholesale Trade",2018,"2018",39097,32142,"Ames, IA","16000US1901855","ames-ia"
1,"Female",5,"Retail Trade",2018,"2018",8684,2027,"Ames, IA","16000US1901855","ames-ia"
1,"Female",6,"Transportation & Warehousing, & Utilities",2018,"2018",17981,16426,"Ames, IA","16000US1901855","ames-ia"
1,"Female",7,"Information",2018,"2018",22344,19940,"Ames, IA","16000US1901855","ames-ia"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2018,"2018",38948,21199,"Ames, IA","16000US1901855","ames-ia"
